actionType	chemblIds	targetType	targets
INHIBITOR	CHEMBL2105763	protein family	ENSG00000068024
INHIBITOR	CHEMBL2105763	protein family	ENSG00000048052
INHIBITOR	CHEMBL2105763	protein family	ENSG00000100429
INHIBITOR	CHEMBL1695	single protein	ENSG00000157103
INHIBITOR	CHEMBL1027	single protein	ENSG00000157103
INHIBITOR	CHEMBL3545196	single protein	ENSG00000197122
INHIBITOR	CHEMBL49120	single protein	ENSG00000197122
ANTAGONIST	CHEMBL1200648	protein complex group	ENSG00000138435
ANTAGONIST	CHEMBL1200648	protein complex group	ENSG00000196811
ANTAGONIST	CHEMBL1200648	protein complex group	ENSG00000170175
ANTAGONIST	CHEMBL1200648	protein complex group	ENSG00000135902
ANTAGONIST	CHEMBL1200648	protein complex group	ENSG00000108556
ANTAGONIST	CHEMBL1201244	protein complex group	ENSG00000138435
ANTAGONIST	CHEMBL1201244	protein complex group	ENSG00000196811
ANTAGONIST	CHEMBL1201244	protein complex group	ENSG00000170175
ANTAGONIST	CHEMBL1201244	protein complex group	ENSG00000135902
ANTAGONIST	CHEMBL1201244	protein complex group	ENSG00000108556
INHIBITOR	CHEMBL501867	protein complex group	ENSG00000188229
INHIBITOR	CHEMBL501867	protein complex group	ENSG00000101162
INHIBITOR	CHEMBL501867	protein complex group	ENSG00000198033
INHIBITOR	CHEMBL501867	protein complex group	ENSG00000127824
INHIBITOR	CHEMBL501867	protein complex group	ENSG00000258947
INHIBITOR	CHEMBL501867	protein complex group	ENSG00000167552
INHIBITOR	CHEMBL501867	protein complex group	ENSG00000104833
INHIBITOR	CHEMBL501867	protein complex group	ENSG00000261456
INHIBITOR	CHEMBL501867	protein complex group	ENSG00000196230
INHIBITOR	CHEMBL501867	protein complex group	ENSG00000123416
INHIBITOR	CHEMBL501867	protein complex group	ENSG00000167553
INHIBITOR	CHEMBL501867	protein complex group	ENSG00000152086
INHIBITOR	CHEMBL501867	protein complex group	ENSG00000137267
INHIBITOR	CHEMBL501867	protein complex group	ENSG00000137285
INHIBITOR	CHEMBL501867	protein complex group	ENSG00000176014
INHIBITOR	CHEMBL90555	protein complex group	ENSG00000188229
INHIBITOR	CHEMBL90555	protein complex group	ENSG00000101162
INHIBITOR	CHEMBL90555	protein complex group	ENSG00000198033
INHIBITOR	CHEMBL90555	protein complex group	ENSG00000127824
INHIBITOR	CHEMBL90555	protein complex group	ENSG00000258947
INHIBITOR	CHEMBL90555	protein complex group	ENSG00000167552
INHIBITOR	CHEMBL90555	protein complex group	ENSG00000104833
INHIBITOR	CHEMBL90555	protein complex group	ENSG00000261456
INHIBITOR	CHEMBL90555	protein complex group	ENSG00000196230
INHIBITOR	CHEMBL90555	protein complex group	ENSG00000123416
INHIBITOR	CHEMBL90555	protein complex group	ENSG00000167553
INHIBITOR	CHEMBL90555	protein complex group	ENSG00000152086
INHIBITOR	CHEMBL90555	protein complex group	ENSG00000137267
INHIBITOR	CHEMBL90555	protein complex group	ENSG00000137285
INHIBITOR	CHEMBL90555	protein complex group	ENSG00000176014
INHIBITOR	CHEMBL2109445	single protein	
INHIBITOR	CHEMBL4297260	single protein	ENSG00000125730
INHIBITOR	CHEMBL3545332	single protein	ENSG00000165731
INHIBITOR	CHEMBL1567	single protein	ENSG00000165731
INHIBITOR	CHEMBL535	single protein	ENSG00000165731
INHIBITOR	CHEMBL779	single protein	ENSG00000138735
INHIBITOR	CHEMBL522892	single protein	ENSG00000122025
ANTAGONIST	CHEMBL1200787	protein family	ENSG00000120907
ANTAGONIST	CHEMBL1200787	protein family	ENSG00000150594
ANTAGONIST	CHEMBL1200787	protein family	ENSG00000184160
ANTAGONIST	CHEMBL1200787	protein family	ENSG00000171873
ANTAGONIST	CHEMBL1200787	protein family	ENSG00000170214
ANTAGONIST	CHEMBL1200787	protein family	ENSG00000274286
ANTAGONIST	CHEMBL753	protein family	ENSG00000120907
ANTAGONIST	CHEMBL753	protein family	ENSG00000150594
ANTAGONIST	CHEMBL753	protein family	ENSG00000184160
ANTAGONIST	CHEMBL753	protein family	ENSG00000171873
ANTAGONIST	CHEMBL753	protein family	ENSG00000170214
ANTAGONIST	CHEMBL753	protein family	ENSG00000274286
INHIBITOR	CHEMBL3182444	single protein	ENSG00000087586
INHIBITOR	CHEMBL3989914	single protein	ENSG00000105976
INHIBITOR	CHEMBL1201834	single protein	ENSG00000125538
INHIBITOR	CHEMBL1607	single protein	ENSG00000184428
INHIBITOR	CHEMBL84	single protein	ENSG00000184428
INHIBITOR	CHEMBL1795071	single protein	ENSG00000162434
INHIBITOR	CHEMBL1789941	single protein	ENSG00000162434
INHIBITOR	CHEMBL3990031	protein-protein interaction	ENSG00000146374
INHIBITOR	CHEMBL3990031	protein-protein interaction	ENSG00000205213
AGONIST	CHEMBL4297213	single protein	ENSG00000258839
AGONIST	CHEMBL441738	single protein	ENSG00000258839
INHIBITOR	CHEMBL4297066	single protein	ENSG00000148154
INHIBITOR	CHEMBL2110588	single protein	ENSG00000148154
INHIBITOR	CHEMBL3187723	single protein	ENSG00000169032
INHIBITOR	CHEMBL458876	single protein	
NEGATIVE ALLOSTERIC MODULATOR	CHEMBL4650452	single protein	ENSG00000175344
INHIBITOR	CHEMBL4594440	single protein	ENSG00000123454
AGONIST	CHEMBL4297838	single protein	ENSG00000239732
AGONIST	CHEMBL3139186	single protein	ENSG00000188822
INHIBITOR	CHEMBL2109438	single protein	
ACTIVATOR	CHEMBL1201657	single protein	ENSG00000117601
INHIBITOR	CHEMBL2109253	single protein	ENSG00000198851
ANTAGONIST	CHEMBL2178570	single protein	ENSG00000163823
ANTAGONIST	CHEMBL426084	single protein	ENSG00000112038
INHIBITOR	CHEMBL3989401	single protein	ENSG00000160752
INHIBITOR	CHEMBL834	single protein	ENSG00000160752
MODULATOR	CHEMBL593430	protein complex group	ENSG00000196557
MODULATOR	CHEMBL593430	protein complex group	ENSG00000153956
MODULATOR	CHEMBL593430	protein complex group	ENSG00000151067
MODULATOR	CHEMBL593430	protein complex group	ENSG00000157445
MODULATOR	CHEMBL593430	protein complex group	ENSG00000081248
MODULATOR	CHEMBL593430	protein complex group	ENSG00000007402
MODULATOR	CHEMBL593430	protein complex group	ENSG00000157388
MODULATOR	CHEMBL593430	protein complex group	ENSG00000141837
MODULATOR	CHEMBL593430	protein complex group	ENSG00000148408
MODULATOR	CHEMBL593430	protein complex group	ENSG00000006283
MODULATOR	CHEMBL593430	protein complex group	ENSG00000151062
MODULATOR	CHEMBL593430	protein complex group	ENSG00000100346
MODULATOR	CHEMBL593430	protein complex group	ENSG00000102001
MODULATOR	CHEMBL593430	protein complex group	ENSG00000198216
MODULATOR	CHEMBL593430	protein complex group	ENSG00000182389
MODULATOR	CHEMBL593430	protein complex group	ENSG00000165995
MODULATOR	CHEMBL593430	protein complex group	ENSG00000067191
MODULATOR	CHEMBL593430	protein complex group	ENSG00000167535
MODULATOR	CHEMBL593430	protein complex group	ENSG00000105605
MODULATOR	CHEMBL593430	protein complex group	ENSG00000075429
MODULATOR	CHEMBL593430	protein complex group	ENSG00000166862
MODULATOR	CHEMBL593430	protein complex group	ENSG00000075461
MODULATOR	CHEMBL593430	protein complex group	ENSG00000142408
MODULATOR	CHEMBL593430	protein complex group	ENSG00000006116
MODULATOR	CHEMBL593430	protein complex group	ENSG00000130433
MODULATOR	CHEMBL593430	protein complex group	ENSG00000108878
AGONIST	CHEMBL1201668	single protein	ENSG00000169418
INHIBITOR	CHEMBL2109662	single protein	ENSG00000163217
INHIBITOR	CHEMBL3545131	single protein	ENSG00000004468
INHIBITOR	CHEMBL4594257	single protein	
OPENER	CHEMBL802	protein complex	ENSG00000187486
OPENER	CHEMBL802	protein complex	ENSG00000069431
MODULATOR	CHEMBL2107572	single protein	ENSG00000036828
MODULATOR	CHEMBL292376	single protein	ENSG00000036828
INHIBITOR	CHEMBL1614766	single protein	ENSG00000169032
ANTAGONIST	CHEMBL504652	protein complex	ENSG00000160716
ANTAGONIST	CHEMBL504652	protein complex	ENSG00000101204
AGONIST	CHEMBL1201520	single protein	ENSG00000170820
AGONIST	CHEMBL1743008	single protein	ENSG00000120889
INHIBITOR	CHEMBL4297423	protein family	ENSG00000204256
INHIBITOR	CHEMBL4297423	protein family	ENSG00000141867
INHIBITOR	CHEMBL4297423	protein family	ENSG00000137948
INHIBITOR	CHEMBL4297423	protein family	ENSG00000169925
INHIBITOR	CHEMBL1743047	single protein	ENSG00000146648
ANTAGONIST	CHEMBL4650522	protein family	ENSG00000137252
ANTAGONIST	CHEMBL4650522	protein family	ENSG00000121764
INHIBITOR	CHEMBL3545413	single protein	ENSG00000097007
AGONIST	CHEMBL2103829	single protein	ENSG00000112038
INHIBITOR	CHEMBL3707328	protein family	ENSG00000110680
INHIBITOR	CHEMBL3707328	protein family	ENSG00000175868
INHIBITOR	CHEMBL3545156	single protein	ENSG00000171105
INHIBITOR	CHEMBL1397	single protein	
INHIBITOR	CHEMBL4297750	single protein	ENSG00000091879
INHIBITOR	CHEMBL1668	single protein	ENSG00000165646
ANTAGONIST	CHEMBL2048028	protein complex	ENSG00000005844
ANTAGONIST	CHEMBL2048028	protein complex	ENSG00000160255
ANTISENSE INHIBITOR	CHEMBL2108296	nucleic-acid	ENSG00000169047
INHIBITOR	CHEMBL1503	protein complex	ENSG00000105675
INHIBITOR	CHEMBL1503	protein complex	ENSG00000186009
ANTAGONIST	CHEMBL4594550	single protein	ENSG00000188389
INHIBITOR	CHEMBL3301588	single protein	ENSG00000074181
AGONIST	CHEMBL1200521	single protein	ENSG00000179097
AGONIST	CHEMBL1505	single protein	ENSG00000179097
INHIBITOR	CHEMBL1743035	single protein	ENSG00000169194
INHIBITOR	CHEMBL1200686	single protein	ENSG00000088832
ANTAGONIST	CHEMBL1200828	single protein	ENSG00000168539
ANTAGONIST	CHEMBL1201227	single protein	ENSG00000168539
INHIBITOR	CHEMBL4297856	single protein	ENSG00000188389
INHIBITOR	CHEMBL1082462	single protein	ENSG00000197635
ANTAGONIST	CHEMBL1200692	single protein	ENSG00000144891
BLOCKER	CHEMBL1194	protein family	ENSG00000144285
BLOCKER	CHEMBL1194	protein family	ENSG00000183873
BLOCKER	CHEMBL1194	protein family	ENSG00000007314
BLOCKER	CHEMBL1194	protein family	ENSG00000136546
BLOCKER	CHEMBL1194	protein family	ENSG00000136531
BLOCKER	CHEMBL1194	protein family	ENSG00000169432
BLOCKER	CHEMBL1194	protein family	ENSG00000153253
BLOCKER	CHEMBL1194	protein family	ENSG00000168356
BLOCKER	CHEMBL1194	protein family	ENSG00000196876
BLOCKER	CHEMBL1194	protein family	ENSG00000185313
BINDING AGENT	CHEMBL4297837	single protein	ENSG00000185291
INHIBITOR	CHEMBL1201059	single protein	
INHIBITOR	CHEMBL1377	single protein	
INHIBITOR	CHEMBL1908391	single protein	ENSG00000157404
INHIBITOR	CHEMBL3545179	single protein	ENSG00000198400
AGONIST	CHEMBL1200405	single protein	ENSG00000169252
AGONIST	CHEMBL1201295	single protein	ENSG00000169252
INHIBITOR	CHEMBL1571	single protein	ENSG00000137869
AGONIST	CHEMBL3833353	protein complex	ENSG00000004948
AGONIST	CHEMBL3833353	protein complex	ENSG00000132329
AGONIST	CHEMBL2103758	protein complex	ENSG00000004948
AGONIST	CHEMBL2103758	protein complex	ENSG00000132329
INHIBITOR	CHEMBL2109346	single protein	ENSG00000160255
INHIBITOR	CHEMBL4297711	single protein	ENSG00000100652
INHIBITOR	CHEMBL296913	single protein	ENSG00000073756
INHIBITOR	CHEMBL1206690	single protein	ENSG00000073756
INHIBITOR	CHEMBL2107832	single protein	ENSG00000169032
AGONIST	CHEMBL1201163	single protein	ENSG00000112038
AGONIST	CHEMBL658	single protein	ENSG00000112038
ANTAGONIST	CHEMBL2364652	single protein	ENSG00000180340
INHIBITOR	CHEMBL2109446	single protein	
INHIBITOR	CHEMBL2109298	single protein	ENSG00000091879
INHIBITOR	CHEMBL4594246	protein family	
AGONIST	CHEMBL1200973	single protein	ENSG00000091831
INHIBITOR	CHEMBL261772	protein nucleic-acid complex	
INHIBITOR	CHEMBL2001019	single protein	ENSG00000105976
MODULATOR	CHEMBL1236924	single protein	ENSG00000132170
INHIBITOR	CHEMBL573352	single protein	ENSG00000068654
ANTAGONIST	CHEMBL2107349	single protein	ENSG00000178394
ANTAGONIST	CHEMBL372205	single protein	ENSG00000178394
NEGATIVE ALLOSTERIC MODULATOR	CHEMBL3545346	single protein	ENSG00000168959
AGONIST	CHEMBL1200690	protein family	ENSG00000126895
AGONIST	CHEMBL1200690	protein family	ENSG00000166148
AGONIST	CHEMBL1200690	protein family	ENSG00000198049
INHIBITOR	CHEMBL3545432	protein complex	ENSG00000173692
INHIBITOR	CHEMBL3545432	protein complex	ENSG00000126067
INHIBITOR	CHEMBL3545432	protein complex	ENSG00000008018
INHIBITOR	CHEMBL3545432	protein complex	ENSG00000100804
INHIBITOR	CHEMBL3545432	protein complex	ENSG00000204264
INHIBITOR	CHEMBL3545432	protein complex	ENSG00000240065
INHIBITOR	CHEMBL3545432	protein complex	ENSG00000142507
INHIBITOR	CHEMBL3545432	protein complex	ENSG00000115233
INHIBITOR	CHEMBL3545432	protein complex	ENSG00000129084
INHIBITOR	CHEMBL3545432	protein complex	ENSG00000106588
INHIBITOR	CHEMBL3545432	protein complex	ENSG00000100567
INHIBITOR	CHEMBL3545432	protein complex	ENSG00000041357
INHIBITOR	CHEMBL3545432	protein complex	ENSG00000143106
INHIBITOR	CHEMBL3545432	protein complex	ENSG00000100902
INHIBITOR	CHEMBL3545432	protein complex	ENSG00000101182
INHIBITOR	CHEMBL3545432	protein complex	ENSG00000154611
INHIBITOR	CHEMBL3545432	protein complex	ENSG00000205220
INHIBITOR	CHEMBL3545432	protein complex	ENSG00000222028
INHIBITOR	CHEMBL3545432	protein complex	ENSG00000277791
INHIBITOR	CHEMBL3545432	protein complex	ENSG00000159377
INHIBITOR	CHEMBL3545432	protein complex	ENSG00000136930
INHIBITOR	CHEMBL3545432	protein complex	ENSG00000130706
INHIBITOR	CHEMBL3545432	protein complex	ENSG00000161057
INHIBITOR	CHEMBL3545432	protein complex	ENSG00000100764
INHIBITOR	CHEMBL3545432	protein complex	ENSG00000013275
INHIBITOR	CHEMBL3545432	protein complex	ENSG00000100519
INHIBITOR	CHEMBL3545432	protein complex	ENSG00000165916
INHIBITOR	CHEMBL3545432	protein complex	ENSG00000087191
INHIBITOR	CHEMBL3545432	protein complex	ENSG00000175166
INHIBITOR	CHEMBL3545432	protein complex	ENSG00000108344
INHIBITOR	CHEMBL3545432	protein complex	ENSG00000197170
INHIBITOR	CHEMBL3545432	protein complex	ENSG00000108671
INHIBITOR	CHEMBL3545432	protein complex	ENSG00000163636
INHIBITOR	CHEMBL3545432	protein complex	ENSG00000103035
INHIBITOR	CHEMBL3545432	protein complex	ENSG00000185627
INHIBITOR	CHEMBL3545432	protein complex	ENSG00000159352
INHIBITOR	CHEMBL3545432	protein complex	ENSG00000099341
INHIBITOR	CHEMBL3545432	protein complex	ENSG00000127922
ACTIVATOR	CHEMBL1201513	single protein	ENSG00000117601
INHIBITOR	CHEMBL2109257	single protein	ENSG00000128052
INHIBITOR	CHEMBL1201180	protein family	ENSG00000073756
INHIBITOR	CHEMBL1201180	protein family	ENSG00000095303
INHIBITOR	CHEMBL139	protein family	ENSG00000073756
INHIBITOR	CHEMBL139	protein family	ENSG00000095303
AGONIST	CHEMBL1200764	single protein	ENSG00000133019
AGONIST	CHEMBL978	single protein	ENSG00000133019
BINDING AGENT	CHEMBL2108583	protein complex	ENSG00000077238
BINDING AGENT	CHEMBL2108583	protein complex	ENSG00000131724
INHIBITOR	CHEMBL4297863	single protein	ENSG00000232810
INHIBITOR	CHEMBL2347655	single protein	ENSG00000138160
INHIBITOR	CHEMBL4297938	protein complex group	ENSG00000188229
INHIBITOR	CHEMBL4297938	protein complex group	ENSG00000101162
INHIBITOR	CHEMBL4297938	protein complex group	ENSG00000198033
INHIBITOR	CHEMBL4297938	protein complex group	ENSG00000127824
INHIBITOR	CHEMBL4297938	protein complex group	ENSG00000258947
INHIBITOR	CHEMBL4297938	protein complex group	ENSG00000167552
INHIBITOR	CHEMBL4297938	protein complex group	ENSG00000104833
INHIBITOR	CHEMBL4297938	protein complex group	ENSG00000261456
INHIBITOR	CHEMBL4297938	protein complex group	ENSG00000196230
INHIBITOR	CHEMBL4297938	protein complex group	ENSG00000123416
INHIBITOR	CHEMBL4297938	protein complex group	ENSG00000167553
INHIBITOR	CHEMBL4297938	protein complex group	ENSG00000152086
INHIBITOR	CHEMBL4297938	protein complex group	ENSG00000137267
INHIBITOR	CHEMBL4297938	protein complex group	ENSG00000137285
INHIBITOR	CHEMBL4297938	protein complex group	ENSG00000176014
ANTAGONIST	CHEMBL85	single protein	ENSG00000102468
ANTAGONIST	CHEMBL2206292	single protein	ENSG00000101180
INHIBITOR	CHEMBL14370	single protein	ENSG00000103546
INHIBITOR	CHEMBL190333	single protein	ENSG00000112062
ACTIVATOR	CHEMBL2103799	single protein	ENSG00000114859
INHIBITOR	CHEMBL2079793	single protein	
INHIBITOR	CHEMBL1540	single protein	
ANTAGONIST	CHEMBL1761	single protein	ENSG00000168539
ANTAGONIST	CHEMBL86715	single protein	ENSG00000168539
ANTAGONIST	CHEMBL1200959	single protein	ENSG00000196639
OPENER	CHEMBL1200694	single protein	ENSG00000169427
ACTIVATOR	CHEMBL4297436	single protein	ENSG00000096717
AGONIST	CHEMBL4297404	single protein	ENSG00000186951
INHIBITOR	CHEMBL258940	single protein	ENSG00000146648
INHIBITOR	CHEMBL491473	single protein	ENSG00000157404
AGONIST	CHEMBL2105635	protein complex	ENSG00000004948
AGONIST	CHEMBL2105635	protein complex	ENSG00000132329
ANTAGONIST	CHEMBL1200419	single protein	ENSG00000102468
ANTAGONIST	CHEMBL460	single protein	ENSG00000102468
INHIBITOR	CHEMBL1201013	single protein	ENSG00000012779
INHIBITOR	CHEMBL425	single protein	ENSG00000012779
INHIBITOR	CHEMBL1231160	protein complex	ENSG00000144744
INHIBITOR	CHEMBL1231160	protein complex	ENSG00000159593
INHIBITOR	CHEMBL1200964	single protein	ENSG00000103546
INHIBITOR	CHEMBL629	single protein	ENSG00000103546
INHIBITOR	CHEMBL14762	single protein	ENSG00000136807
ANTAGONIST	CHEMBL3545272	single protein	ENSG00000133019
AGONIST	CHEMBL1201631	single protein	ENSG00000171105
INHIBITOR	CHEMBL3137351	protein complex	ENSG00000115232
INHIBITOR	CHEMBL3137351	protein complex	ENSG00000139626
INHIBITOR	CHEMBL2104954	single protein	ENSG00000169032
INHIBITOR	CHEMBL1230609	single protein	ENSG00000120156
INHIBITOR	CHEMBL1079593	protein complex group	ENSG00000145675
INHIBITOR	CHEMBL1079593	protein complex group	ENSG00000051382
INHIBITOR	CHEMBL1079593	protein complex group	ENSG00000105851
INHIBITOR	CHEMBL1079593	protein complex group	ENSG00000121879
INHIBITOR	CHEMBL1079593	protein complex group	ENSG00000105647
INHIBITOR	CHEMBL1079593	protein complex group	ENSG00000171608
INHIBITOR	CHEMBL1079593	protein complex group	ENSG00000141506
INHIBITOR	CHEMBL1079593	protein complex group	ENSG00000117461
ANTAGONIST	CHEMBL219916	single protein	ENSG00000149295
INHIBITOR	CHEMBL4298086	single protein	ENSG00000106804
INHIBITOR	CHEMBL850	protein complex	
INHIBITOR	CHEMBL76688	single protein	ENSG00000197561
ANTAGONIST	CHEMBL3545162	single protein	ENSG00000163485
STABILISER	CHEMBL2304041	protein complex group	ENSG00000188229
STABILISER	CHEMBL2304041	protein complex group	ENSG00000101162
STABILISER	CHEMBL2304041	protein complex group	ENSG00000198033
STABILISER	CHEMBL2304041	protein complex group	ENSG00000127824
STABILISER	CHEMBL2304041	protein complex group	ENSG00000258947
STABILISER	CHEMBL2304041	protein complex group	ENSG00000167552
STABILISER	CHEMBL2304041	protein complex group	ENSG00000104833
STABILISER	CHEMBL2304041	protein complex group	ENSG00000261456
STABILISER	CHEMBL2304041	protein complex group	ENSG00000196230
STABILISER	CHEMBL2304041	protein complex group	ENSG00000123416
STABILISER	CHEMBL2304041	protein complex group	ENSG00000167553
STABILISER	CHEMBL2304041	protein complex group	ENSG00000152086
STABILISER	CHEMBL2304041	protein complex group	ENSG00000137267
STABILISER	CHEMBL2304041	protein complex group	ENSG00000137285
STABILISER	CHEMBL2304041	protein complex group	ENSG00000176014
AGONIST	CHEMBL1201649	protein family	ENSG00000140009
AGONIST	CHEMBL1201649	protein family	ENSG00000091831
ANTAGONIST	CHEMBL1094	protein complex group	ENSG00000176884
ANTAGONIST	CHEMBL1094	protein complex group	ENSG00000183454
ANTAGONIST	CHEMBL1094	protein complex group	ENSG00000273079
ANTAGONIST	CHEMBL1094	protein complex group	ENSG00000105464
ANTAGONIST	CHEMBL1094	protein complex group	ENSG00000116032
ANTAGONIST	CHEMBL1094	protein complex group	ENSG00000161509
ANTAGONIST	CHEMBL1094	protein complex group	ENSG00000198785
INHIBITOR	CHEMBL2109567	single protein	
INHIBITOR	CHEMBL1200948	single protein	ENSG00000103546
INHIBITOR	CHEMBL644	single protein	ENSG00000103546
INHIBITOR	CHEMBL4297188	protein family	ENSG00000105221
INHIBITOR	CHEMBL4297188	protein family	ENSG00000117020
INHIBITOR	CHEMBL4297188	protein family	ENSG00000142208
INHIBITOR	CHEMBL3545311	single protein	ENSG00000171094
INHIBITOR	CHEMBL3545420	single protein	ENSG00000123374
INHIBITOR	CHEMBL1944698	single protein	ENSG00000136807
AGONIST	CHEMBL266481	single protein	ENSG00000215644
AGONIST	CHEMBL2107846	single protein	ENSG00000104689
INHIBITOR	CHEMBL1200321	single protein	
INHIBITOR	CHEMBL453	single protein	
ANTAGONIST	CHEMBL1354199	single protein	ENSG00000168539
ANTAGONIST	CHEMBL376897	single protein	ENSG00000168539
NEGATIVE ALLOSTERIC MODULATOR	CHEMBL3642985	single protein	ENSG00000168959
INHIBITOR	CHEMBL363392	single protein	ENSG00000125255
